2023-07-12 11:36:44.843 | INFO     | common.utils:__api_log:32 - 请求方式：post
2023-07-12 11:36:44.844 | INFO     | common.utils:__api_log:33 - 请求地址：http://polygon-mumbai.testnet.863863.xyz/v1/rpc/fb90c5a628b19148d4f01da617219548c978cb6e
2023-07-12 11:36:44.844 | INFO     | common.utils:__api_log:34 - 请求头：{'Content-Type': 'application/json'}
2023-07-12 11:36:44.844 | INFO     | common.utils:__api_log:35 - 请求参数：None
2023-07-12 11:36:44.844 | INFO     | common.utils:__api_log:36 - 请求体：{'jsonrpc': '2.0', 'method': 'eth_chainId', 'params': [], 'id': 1}

2023-07-12 11:36:45.416 | INFO     | common.utils:send_http:21 - 响应结果为：502
2023-07-12 11:36:45.417 | ERROR    | common.utils:assert_response_status:61 - eq断言失败，预期结果：200，实际结果：502
2023-07-12 11:36:45.417 | ERROR    | common.utils:assert_response_status:62 - 用例失败！
2023-07-12 11:36:45.494 | INFO     | common.utils:__api_log:32 - 请求方式：post
2023-07-12 11:36:45.494 | INFO     | common.utils:__api_log:33 - 请求地址：http://polygon-mumbai.testnet.863863.xyz/v1/rpc/fb90c5a628b19148d4f01da617219548c978cb6e
2023-07-12 11:36:45.494 | INFO     | common.utils:__api_log:34 - 请求头：{'Content-Type': 'application/json'}
2023-07-12 11:36:45.494 | INFO     | common.utils:__api_log:35 - 请求参数：None
2023-07-12 11:36:45.494 | INFO     | common.utils:__api_log:36 - 请求体：{'jsonrpc': '2.0', 'method': 'eth_syncing', 'params': [], 'id': 1}

2023-07-12 11:36:45.858 | INFO     | common.utils:send_http:21 - 响应结果为：502
2023-07-12 11:36:45.858 | ERROR    | common.utils:assert_response_status:61 - eq断言失败，预期结果：200，实际结果：502
2023-07-12 11:36:45.858 | ERROR    | common.utils:assert_response_status:62 - 用例失败！
