"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","eth_getBlockByHash","","1","0","0","0","0"
"","eth_newPendingTransactionFilter","","0","0","1","0","0"
"","eth_getBalance","","0","0","1","0","0"
"","eth_getBlockTransactionCountByHash","","0","1","0","0","0"
"","net_version","","1","0","0","0","0"
"","eth_call","","1","0","0","0","0"
"","eth_getTransactionByHash","","0","1","0","0","0"
"","eth_newFilter","","0","0","1","0","0"
"","eth_estimateGas","","1","0","0","0","0"
"","eth_gasPrice","","0","0","1","0","0"
"","net_listening","","1","0","0","0","0"
"","net_peerCount","","1","0","0","0","0"
"","eth_chainId","返回当前配置的链id","0","1","0","0","0"
"","eth_syncing","","0","0","1","0","0"
"","eth_getCode","","1","0","0","0","0"
"","web3_clientVersion","","0","0","1","0","0"
"","eth_getBlockReceipts","","0","1","0","0","0"
"","eth_getTransactionCount","","0","1","0","0","0"
"","web3_sha3","","0","0","1","0","0"
"","eth_getTransactionByBlockHashAndIndex","","0","1","0","0","0"
"","eth_getStorageAt","","1","0","0","0","0"
"","eth_getBlockTransactionCountByNumber","","0","1","0","0","0"
"","eth_getFilterChanges","","0","0","1","0","0"
"","eth_getBlockByNumber","","1","0","0","0","0"
"","txpool_status","","0","0","1","0","0"
"","eth_getTransactionByBlockNumberAndIndex","","0","1","0","0","0"
"","eth_blockNumber","","0","0","1","0","0"
"","eth_getTransactionReceipt","","0","1","0","0","0"
"","eth_newBlockFilter","","0","0","1","0","0"
"","eth_getLogs","","0","0","1","0","0"
