"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Aug 08 18:14:34 CST 2023","Tue Aug 08 18:14:35 CST 2023","748","testcases","test_arbitrum_goerli","TestArbitrumGoerli","","","根据哈希返回关于区块的信息",""
"passed","Tue Aug 08 18:14:43 CST 2023","Tue Aug 08 18:14:44 CST 2023","1120","testcases","test_arbitrum_goerli","TestArbitrumGoerli","","","在节点中创建一个过滤器，以在新的待处理交易到达时发出通知",""
"passed","Tue Aug 08 18:14:37 CST 2023","Tue Aug 08 18:14:38 CST 2023","632","testcases","test_arbitrum_goerli","TestArbitrumGoerli","","","返回给定地址的账户余额",""
"broken","Tue Aug 08 18:14:38 CST 2023","Tue Aug 08 18:14:38 CST 2023","0","testcases","test_arbitrum_goerli","TestArbitrumGoerli","","","返回从一个地址发送的交易数量",""
"failed","Tue Aug 08 18:14:45 CST 2023","Tue Aug 08 18:14:45 CST 2023","635","testcases","test_arbitrum_goerli","TestArbitrumGoerli","","","返回当前网络 id",""
"failed","Tue Aug 08 18:14:39 CST 2023","Tue Aug 08 18:14:40 CST 2023","647","testcases","test_arbitrum_goerli","TestArbitrumGoerli","","","立即执行新的消息调用，而不在区块链上创建交易",""
"broken","Tue Aug 08 18:14:38 CST 2023","Tue Aug 08 18:14:38 CST 2023","0","testcases","test_arbitrum_goerli","TestArbitrumGoerli","","","返回关于按交易哈希请求的交易的信息",""
"passed","Tue Aug 08 18:14:41 CST 2023","Tue Aug 08 18:14:42 CST 2023","708","testcases","test_arbitrum_goerli","TestArbitrumGoerli","","","基于过滤器选项创建一个过滤器对象，以在状态更改（日志）时发出通知",""
"failed","Tue Aug 08 18:14:41 CST 2023","Tue Aug 08 18:14:41 CST 2023","772","testcases","test_arbitrum_goerli","TestArbitrumGoerli","","","生成并返回允许交易完成所需燃料数量的估算值",""
"passed","Tue Aug 08 18:14:36 CST 2023","Tue Aug 08 18:14:37 CST 2023","623","testcases","test_arbitrum_goerli","TestArbitrumGoerli","","","返回以 wei 为单位的当前 gas 价格",""
"failed","Tue Aug 08 18:14:45 CST 2023","Tue Aug 08 18:14:46 CST 2023","771","testcases","test_arbitrum_goerli","TestArbitrumGoerli","","","如果客户端正在主动监听网络连接，则返回 true",""
"failed","Tue Aug 08 18:14:46 CST 2023","Tue Aug 08 18:14:47 CST 2023","763","testcases","test_arbitrum_goerli","TestArbitrumGoerli","","","返回当前连接到客户端的对等点数",""
"broken","Tue Aug 08 18:14:29 CST 2023","Tue Aug 08 18:14:33 CST 2023","4374","testcases","test_arbitrum_goerli","TestArbitrumGoerli","","","test_eth_chainId[data0]",""
"passed","Tue Aug 08 18:14:33 CST 2023","Tue Aug 08 18:14:34 CST 2023","645","testcases","test_arbitrum_goerli","TestArbitrumGoerli","","","返回有关节点同步状态的信息",""
"failed","Tue Aug 08 18:14:38 CST 2023","Tue Aug 08 18:14:39 CST 2023","755","testcases","test_arbitrum_goerli","TestArbitrumGoerli","","","返回位于给定地址的代码",""
"passed","Tue Aug 08 18:14:47 CST 2023","Tue Aug 08 18:14:47 CST 2023","638","testcases","test_arbitrum_goerli","TestArbitrumGoerli","","","返回当前客户端版本",""
"broken","Tue Aug 08 18:14:35 CST 2023","Tue Aug 08 18:14:35 CST 2023","0","testcases","test_arbitrum_goerli","TestArbitrumGoerli","","","获取给定区块的所有交易数据",""
"broken","Tue Aug 08 18:14:38 CST 2023","Tue Aug 08 18:14:38 CST 2023","0","testcases","test_arbitrum_goerli","TestArbitrumGoerli","","","返回从一个地址发送的交易数量",""
"passed","Tue Aug 08 18:14:47 CST 2023","Tue Aug 08 18:14:48 CST 2023","612","testcases","test_arbitrum_goerli","TestArbitrumGoerli","","","返回给定数据的 Keccak-256",""
"broken","Tue Aug 08 18:14:38 CST 2023","Tue Aug 08 18:14:38 CST 2023","0","testcases","test_arbitrum_goerli","TestArbitrumGoerli","","","根据区块哈希和交易索引位置返回关于交易的信息",""
"failed","Tue Aug 08 18:14:40 CST 2023","Tue Aug 08 18:14:41 CST 2023","669","testcases","test_arbitrum_goerli","TestArbitrumGoerli","","","从给定地址的存储位置返回值",""
"broken","Tue Aug 08 18:14:38 CST 2023","Tue Aug 08 18:14:38 CST 2023","0","testcases","test_arbitrum_goerli","TestArbitrumGoerli","","","返回匹配给定区块编号的区块中的交易数量",""
"passed","Tue Aug 08 18:14:44 CST 2023","Tue Aug 08 18:14:45 CST 2023","664","testcases","test_arbitrum_goerli","TestArbitrumGoerli","","","过滤器的轮询方法，会返回自上次轮询以来产生的日志数组",""
"failed","Tue Aug 08 18:14:34 CST 2023","Tue Aug 08 18:14:34 CST 2023","638","testcases","test_arbitrum_goerli","TestArbitrumGoerli","","","根据区块编号返回关于区块的信息",""
"passed","Tue Aug 08 18:14:48 CST 2023","Tue Aug 08 18:14:49 CST 2023","849","testcases","test_arbitrum_goerli","TestArbitrumGoerli","","","返回当前待包含在下一个块中的交易数量，以及计划仅在将来执行的交易数量",""
"broken","Tue Aug 08 18:14:38 CST 2023","Tue Aug 08 18:14:38 CST 2023","0","testcases","test_arbitrum_goerli","TestArbitrumGoerli","","","根据区块编号和交易索引位置返回关于交易的信息",""
"passed","Tue Aug 08 18:14:35 CST 2023","Tue Aug 08 18:14:36 CST 2023","1090","testcases","test_arbitrum_goerli","TestArbitrumGoerli","","","返回最新区块的编号",""
"broken","Tue Aug 08 18:14:38 CST 2023","Tue Aug 08 18:14:38 CST 2023","0","testcases","test_arbitrum_goerli","TestArbitrumGoerli","","","根据交易哈希返回交易的数据",""
"passed","Tue Aug 08 18:14:42 CST 2023","Tue Aug 08 18:14:43 CST 2023","687","testcases","test_arbitrum_goerli","TestArbitrumGoerli","","","在节点中创建一个过滤器，以在新区块到达时发出通知",""
"passed","Tue Aug 08 18:14:38 CST 2023","Tue Aug 08 18:14:38 CST 2023","688","testcases","test_arbitrum_goerli","TestArbitrumGoerli","","","返回与给定过滤器对象匹配的所有日志的数组",""
